27,299,234,115,7,2,4,2,3,1,2,4,17,5,9,11,10,7,16,17,7,7,2,5,4,9,108,66
18,328,274,191,7,4,7,3,3,2,0,2,21,4,5,2,8,1,9,5,2,0,0,2,4,7,48,43
23,257,311,217,8,6,12,4,2,4,1,2,22,5,15,6,8,3,7,6,1,2,1,5,5,5,31,31
6,278,413,111,7,14,10,3,5,6,3,6,18,1,9,11,15,13,11,13,5,3,0,4,1,5,15,14
11,197,265,313,29,28,16,4,2,2,3,5,22,3,7,6,5,5,10,4,4,3,0,1,3,3,20,29
17,166,256,299,38,48,41,18,6,4,6,4,22,3,17,8,4,1,4,4,1,5,0,1,3,3,6,15
15,125,205,226,17,61,207,36,4,10,7,6,19,1,8,2,6,1,1,4,0,13,0,0,0,9,11,6
12,148,293,23,7,25,96,72,57,40,21,25,58,3,19,8,16,7,22,16,7,3,2,2,4,3,8,3
5,200,215,137,12,22,52,13,56,20,21,51,99,8,28,5,14,10,14,7,1,2,0,1,0,1,4,2
1,109,208,85,4,6,84,8,27,31,13,115,182,5,47,14,11,10,15,9,2,0,0,0,0,1,8,5
2,102,169,59,0,2,4,5,9,20,26,65,351,4,61,17,42,6,27,8,2,2,0,2,1,2,5,7
5,75,96,58,2,1,2,0,4,9,22,64,407,11,100,22,43,11,28,21,2,1,0,0,1,1,3,11
0,66,121,65,0,0,1,0,4,5,20,34,338,13,122,44,69,19,44,13,6,1,1,0,1,0,8,5
3,44,48,25,0,2,0,0,1,4,3,17,352,83,125,59,123,23,51,20,3,1,0,1,1,1,8,2
1,35,60,18,0,1,1,0,5,1,3,8,121,17,176,69,141,35,70,40,6,2,0,0,0,1,7,9
3,33,46,19,0,1,0,0,0,3,1,11,83,14,131,85,164,47,135,46,6,3,0,1,0,2,11,10
1,30,54,21,0,0,0,0,2,1,4,7,49,12,87,81,161,55,165,64,17,4,0,1,1,2,13,6
0,27,41,9,0,0,1,0,1,1,1,3,29,8,56,37,128,86,235,116,19,5,1,3,1,2,19,6
1,33,54,7,0,0,0,1,0,1,0,4,22,7,34,43,85,59,335,138,33,7,2,3,1,1,40,9
2,20,44,9,0,0,1,0,0,2,1,2,10,3,25,19,40,33,252,223,56,14,2,5,1,4,31,15
3,27,32,12,0,0,0,0,1,1,0,1,10,3,11,10,41,28,214,274,182,41,5,6,6,4,62,26
16,56,73,8,0,1,1,0,2,1,3,7,15,2,9,3,16,24,152,221,87,114,20,40,6,31,52,40
4,43,80,9,0,2,1,1,2,2,2,2,4,1,8,7,21,9,57,150,71,74,29,82,75,34,164,66
6,78,55,9,1,1,1,0,0,2,0,2,8,1,4,4,14,8,48,75,66,29,12,54,107,139,190,86
7,90,69,17,1,0,2,1,0,5,3,3,5,3,4,7,16,11,35,46,24,23,10,30,46,66,283,104
13,128,120,28,3,1,0,2,0,1,0,3,4,3,9,10,12,2,19,27,11,13,10,22,33,45,365,116
10,204,238,13,1,4,0,0,2,1,3,4,11,1,16,8,7,13,21,24,13,11,4,13,39,68,180,91
13,289,226,21,6,4,1,1,2,5,0,1,12,2,6,2,9,4,14,18,6,7,1,8,23,52,135,132
